Date,Time,Voltage (V),Current (A),Power (W),Energy (kWh)
01-03-2024,10:45:00,237.99,0.04,9.52,24
01-03-2024,11:00:00,238.08,0.09,21.43,54
01-03-2024,11:15:00,237.77,0.07,16.64,42
01-03-2024,11:30:00,233.82,0.06,14.03,35
01-03-2024,11:45:00,239.36,0.04,9.57,24
01-03-2024,12:00:00,234.61,0.09,21.11,53
01-03-2024,12:15:00,235.67,0.09,21.21,53
01-03-2024,12:30:00,237.68,0.04,9.51,24
01-03-2024,12:45:00,239.06,0.08,19.12,48
01-03-2024,13:00:00,232.77,0.04,9.31,23
01-03-2024,13:15:00,232.44,0.03,6.97,17
01-03-2024,13:30:00,232.22,0.08,18.58,46
01-03-2024,13:45:00,230.77,0.09,20.77,52
01-03-2024,14:00:00,235.75,0.07,16.5,41
01-03-2024,14:15:00,237.18,0.08,18.97,47
01-03-2024,14:30:00,233.75,0.04,9.35,23
01-03-2024,14:45:00,233.82,0.1,23.38,58
01-03-2024,15:00:00,233.74,0.08,18.7,47
01-03-2024,15:15:00,235.46,0.05,11.77,29
01-03-2024,15:30:00,234.74,0.05,11.74,29
01-03-2024,15:45:00,234.71,0.08,18.78,47
01-03-2024,16:00:00,235.44,0.06,14.13,35
01-03-2024,16:15:00,236.37,0.03,7.09,18
01-03-2024,16:30:00,233.27,0.06,14.0,35
01-03-2024,16:45:00,238.25,0.08,19.06,48
01-03-2024,17:00:00,235.52,0.05,11.78,29
01-03-2024,17:15:00,239.11,0.1,23.91,6
01-03-2024,17:30:00,237.53,0.1,23.75,59
01-03-2024,17:45:00,233.69,0.05,11.68,29
01-03-2024,18:00:00,230.75,0.04,9.23,23
01-03-2024,18:15:00,234.42,0.05,11.72,29
01-03-2024,18:30:00,237.66,0.1,23.77,59
01-03-2024,18:45:00,233.02,0.06,13.98,35
01-03-2024,19:00:00,230.08,0.04,9.2,23
01-03-2024,19:15:00,232.98,0.04,9.32,23
01-03-2024,19:30:00,230.28,0.06,13.82,35
01-03-2024,19:45:00,230.92,0.06,13.86,35
01-03-2024,20:00:00,230.33,0.1,23.03,58
01-03-2024,20:15:00,230.42,0.08,18.43,46
01-03-2024,20:30:00,231.22,0.09,20.81,52
01-03-2024,20:45:00,230.85,0.06,13.85,35
01-03-2024,21:00:00,235.12,0.07,16.46,41
01-03-2024,21:15:00,234.9,0.06,14.09,35
01-03-2024,21:30:00,234.66,0.07,16.43,41
01-03-2024,21:45:00,235.37,0.06,14.12,35
01-03-2024,22:00:00,231.66,0.04,9.27,23
01-03-2024,22:15:00,234.76,0.05,11.74,29
01-03-2024,22:30:00,238.33,0.05,11.92,3
01-03-2024,22:45:00,232.03,0.09,20.88,52
01-03-2024,23:00:00,231.28,0.07,16.19,4
01-03-2024,23:15:00,239.41,0.09,21.55,54
01-03-2024,23:30:00,237.75,0.05,11.89,3
01-03-2024,23:45:00,232.67,0.06,13.96,35
02-03-2024,00:00:00,231.39,0.05,11.57,29
02-03-2024,00:15:00,231.1,0.05,11.55,29
02-03-2024,00:30:00,237.2,0.08,18.98,47
02-03-2024,00:45:00,236.95,0.07,16.59,41
02-03-2024,00:00:00,231.84,0.06,13.91,35
02-03-2024,00:15:00,239.32,0.04,9.57,24
02-03-2024,00:30:00,239.87,0.05,11.99,3
02-03-2024,00:45:00,233.69,0.08,18.7,47
02-03-2024,01:00:00,235.24,0.09,21.17,53
02-03-2024,01:15:00,234.08,0.05,11.7,29
02-03-2024,01:30:00,232.29,0.09,20.91,52
02-03-2024,01:45:00,234.54,0.09,21.11,53
02-03-2024,02:00:00,238.25,0.1,23.83,6
02-03-2024,02:15:00,233.57,0.09,21.02,53
02-03-2024,02:30:00,236.24,0.06,14.17,35
02-03-2024,02:45:00,236.02,0.09,21.24,53
02-03-2024,03:00:00,237.45,0.04,9.5,24
02-03-2024,03:15:00,235.17,0.04,9.41,24
02-03-2024,03:30:00,236.22,0.04,9.45,24
02-03-2024,03:45:00,231.95,0.09,20.88,52
02-03-2024,04:00:00,236.31,0.07,16.54,41
02-03-2024,04:15:00,235.51,0.03,7.07,18
02-03-2024,04:30:00,230.67,0.07,16.15,4
02-03-2024,04:45:00,239.2,0.04,9.57,24
02-03-2024,05:00:00,239.16,0.1,23.92,6
02-03-2024,05:15:00,235.68,0.06,14.14,35
02-03-2024,05:30:00,239.23,0.03,7.18,18
02-03-2024,05:45:00,239.39,0.04,9.58,24
02-03-2024,06:00:00,233.11,0.03,6.99,17
02-03-2024,06:15:00,230.42,0.09,20.74,52
02-03-2024,06:30:00,235.52,0.09,21.2,53
02-03-2024,06:45:00,238.23,0.08,19.06,48
02-03-2024,07:00:00,235.78,0.04,9.43,24
02-03-2024,07:15:00,230.74,0.06,13.84,35
02-03-2024,07:30:00,232.6,0.09,20.93,52
02-03-2024,07:45:00,230.41,0.09,20.74,52
02-03-2024,08:00:00,231.82,0.07,16.23,41
02-03-2024,08:15:00,236.88,0.08,18.95,47
02-03-2024,08:30:00,237.73,0.05,11.89,3
02-03-2024,08:45:00,239.32,0.09,21.54,54
02-03-2024,09:00:00,237.03,0.03,7.11,18
02-03-2024,09:15:00,239.88,0.04,9.6,24
02-03-2024,09:30:00,237.35,0.05,11.87,3
02-03-2024,09:45:00,239.26,0.06,14.36,36
02-03-2024,10:00:00,232.33,0.09,20.91,52
02-03-2024,10:15:00,232.12,0.07,16.25,41
02-03-2024,10:30:00,238.31,0.05,11.92,3
02-03-2024,10:45:00,236.81,0.05,11.84,3
02-03-2024,11:00:00,236.73,0.07,16.57,41
02-03-2024,11:15:00,237.35,0.06,14.24,36
02-03-2024,11:30:00,238.0,0.08,19.04,48
02-03-2024,11:45:00,234.99,0.04,9.4,24
02-03-2024,12:00:00,235.24,0.07,16.47,41
02-03-2024,12:15:00,231.68,0.04,9.27,23
02-03-2024,12:30:00,232.81,0.07,16.3,41
02-03-2024,12:45:00,234.42,0.08,18.75,47
02-03-2024,13:00:00,230.97,0.1,23.1,58
02-03-2024,13:15:00,238.71,0.06,14.32,36
02-03-2024,13:30:00,231.16,0.09,20.8,52
02-03-2024,13:45:00,230.73,0.08,18.46,46
02-03-2024,14:00:00,235.93,0.05,11.8,3
02-03-2024,14:15:00,230.43,0.07,16.13,4
02-03-2024,14:30:00,234.8,0.1,23.48,59
02-03-2024,14:45:00,235.42,0.1,23.54,59
02-03-2024,15:00:00,232.4,0.03,6.97,17
02-03-2024,15:15:00,238.93,0.1,23.89,6
02-03-2024,15:30:00,232.32,0.07,16.26,41
02-03-2024,15:45:00,230.31,0.08,18.42,46
02-03-2024,16:00:00,237.71,0.08,19.02,48
02-03-2024,16:15:00,234.53,0.05,11.73,29
02-03-2024,16:30:00,232.94,0.03,6.99,17
02-03-2024,16:45:00,237.84,0.08,19.03,48
02-03-2024,17:00:00,231.4,0.08,18.51,46
02-03-2024,17:15:00,233.07,0.08,18.65,47
02-03-2024,17:30:00,231.67,0.05,11.58,29
02-03-2024,17:45:00,231.74,0.09,20.86,52
02-03-2024,18:00:00,236.18,0.06,14.17,35
02-03-2024,18:15:00,238.13,0.08,19.05,48
02-03-2024,18:30:00,231.61,0.07,16.21,41
02-03-2024,18:45:00,234.0,0.06,14.04,35
02-03-2024,19:00:00,233.25,0.06,13.99,35
02-03-2024,19:15:00,233.21,0.08,18.66,47
02-03-2024,19:30:00,238.8,0.06,14.33,36
02-03-2024,19:45:00,235.04,0.05,11.75,29
02-03-2024,20:00:00,233.44,0.05,11.67,29
02-03-2024,20:15:00,237.53,0.09,21.38,53
02-03-2024,20:30:00,234.53,0.09,21.11,53
02-03-2024,20:45:00,238.28,0.04,9.53,24
02-03-2024,21:00:00,230.47,0.07,16.13,4
02-03-2024,21:15:00,238.92,0.07,16.72,42
02-03-2024,21:30:00,231.96,0.05,11.6,29
02-03-2024,21:45:00,232.78,0.03,6.98,17
02-03-2024,22:00:00,236.17,0.05,11.81,3
02-03-2024,22:15:00,235.3,0.09,21.18,53
02-03-2024,22:30:00,238.32,0.05,11.92,3
02-03-2024,22:45:00,231.81,0.1,23.18,58
02-03-2024,23:00:00,235.1,0.05,11.76,29
02-03-2024,23:15:00,238.1,0.03,7.14,18
02-03-2024,23:30:00,232.49,0.06,13.95,35
02-03-2024,23:45:00,233.31,0.05,11.67,29
03-03-2024,00:00:00,239.35,0.06,14.36,36
03-03-2024,00:15:00,232.2,0.08,18.58,46
03-03-2024,00:30:00,231.86,0.04,9.27,23
03-03-2024,00:45:00,232.37,0.07,16.27,41
03-03-2024,00:00:00,236.37,0.04,9.45,24
03-03-2024,00:15:00,238.45,0.06,14.31,36
03-03-2024,00:30:00,235.68,0.08,18.85,47
03-03-2024,00:45:00,236.21,0.04,9.45,24
03-03-2024,01:00:00,233.07,0.06,13.98,35
03-03-2024,01:15:00,236.06,0.04,9.44,24
03-03-2024,01:30:00,238.23,0.05,11.91,3
03-03-2024,01:45:00,231.89,0.04,9.28,23
03-03-2024,02:00:00,235.87,0.04,9.43,24
03-03-2024,02:15:00,239.1,0.04,9.56,24
03-03-2024,02:30:00,239.81,0.07,16.79,42
03-03-2024,02:45:00,237.4,0.06,14.24,36
03-03-2024,03:00:00,239.01,0.08,19.12,48
03-03-2024,03:15:00,232.25,0.05,11.61,29
03-03-2024,03:30:00,234.76,0.06,14.09,35
03-03-2024,03:45:00,233.08,0.08,18.65,47
03-03-2024,04:00:00,232.51,0.04,9.3,23
03-03-2024,04:15:00,230.92,0.05,11.55,29
03-03-2024,04:30:00,236.23,0.08,18.9,47
03-03-2024,04:45:00,235.11,0.05,11.76,29
03-03-2024,05:00:00,230.1,0.06,13.81,35
03-03-2024,05:15:00,237.1,0.08,18.97,47
03-03-2024,05:30:00,232.86,0.07,16.3,41
03-03-2024,05:45:00,230.9,0.08,18.47,46
03-03-2024,06:00:00,231.32,0.05,11.57,29
03-03-2024,06:15:00,238.28,0.04,9.53,24
03-03-2024,06:30:00,230.8,0.04,9.23,23
03-03-2024,06:45:00,230.4,0.06,13.82,35
03-03-2024,07:00:00,238.38,0.06,14.3,36
03-03-2024,07:15:00,233.32,0.05,11.67,29
03-03-2024,07:30:00,231.26,0.03,6.94,17
03-03-2024,07:45:00,238.3,0.03,7.15,18
03-03-2024,08:00:00,235.64,0.05,11.78,29
03-03-2024,08:15:00,238.35,0.1,23.84,6
03-03-2024,08:30:00,236.65,0.04,9.47,24
03-03-2024,08:45:00,235.72,0.05,11.79,29
03-03-2024,09:00:00,232.63,0.07,16.28,41
03-03-2024,09:15:00,237.66,0.03,7.13,18
03-03-2024,09:30:00,232.76,0.09,20.95,52
03-03-2024,09:45:00,238.89,0.04,9.56,24
03-03-2024,10:00:00,230.22,0.05,11.51,29
03-03-2024,10:15:00,232.45,0.04,9.3,23
03-03-2024,10:30:00,234.44,0.06,14.07,35
03-03-2024,10:45:00,231.92,0.07,16.23,41
03-03-2024,11:00:00,234.41,0.04,9.38,23
03-03-2024,11:15:00,238.06,0.1,23.81,6
03-03-2024,11:30:00,238.66,0.06,14.32,36
03-03-2024,11:45:00,233.2,0.05,11.66,29
03-03-2024,12:00:00,238.51,0.05,11.93,3
03-03-2024,12:15:00,232.99,0.07,16.31,41
03-03-2024,12:30:00,233.72,0.09,21.03,53
03-03-2024,12:45:00,236.47,0.06,14.19,35
03-03-2024,13:00:00,230.44,0.08,18.44,46
03-03-2024,13:15:00,238.26,0.1,23.83,6
03-03-2024,13:30:00,230.34,0.08,18.43,46
03-03-2024,13:45:00,233.57,0.04,9.34,23
03-03-2024,14:00:00,239.27,0.07,16.75,42
03-03-2024,14:15:00,239.0,0.07,16.73,42
03-03-2024,14:30:00,232.61,0.08,18.61,47
03-03-2024,14:45:00,239.84,0.06,14.39,36
03-03-2024,15:00:00,234.54,0.08,18.76,47
03-03-2024,15:15:00,230.51,0.09,20.75,52
03-03-2024,15:30:00,237.05,0.04,9.48,24
03-03-2024,15:45:00,237.35,0.05,11.87,3
03-03-2024,16:00:00,230.98,0.1,23.1,58
03-03-2024,16:15:00,234.64,0.05,11.73,29
03-03-2024,16:30:00,233.02,0.08,18.64,47
03-03-2024,16:45:00,233.12,0.08,18.65,47
03-03-2024,17:00:00,236.51,0.03,7.1,18
03-03-2024,17:15:00,231.84,0.09,20.87,52
03-03-2024,17:30:00,237.15,0.05,11.86,3
03-03-2024,17:45:00,238.28,0.04,9.53,24
03-03-2024,18:00:00,234.57,0.05,11.73,29
03-03-2024,18:15:00,231.87,0.03,6.96,17
03-03-2024,18:30:00,236.22,0.04,9.45,24
03-03-2024,18:45:00,234.73,0.07,16.43,41
03-03-2024,19:00:00,238.85,0.05,11.94,3
03-03-2024,19:15:00,231.23,0.06,13.87,35
03-03-2024,19:30:00,233.85,0.09,21.05,53
03-03-2024,19:45:00,234.8,0.05,11.74,29
03-03-2024,20:00:00,230.87,0.09,20.78,52
03-03-2024,20:15:00,230.14,0.05,11.51,29
03-03-2024,20:30:00,230.42,0.04,9.22,23
03-03-2024,20:45:00,234.54,0.03,7.04,18
03-03-2024,21:00:00,237.31,0.07,16.61,42
03-03-2024,21:15:00,236.51,0.04,9.46,24
03-03-2024,21:30:00,233.29,0.04,9.33,23
03-03-2024,21:45:00,236.97,0.09,21.33,53
03-03-2024,22:00:00,231.32,0.05,11.57,29
03-03-2024,22:15:00,234.38,0.09,21.09,53
03-03-2024,22:30:00,235.85,0.03,7.08,18
03-03-2024,22:45:00,231.86,0.04,9.27,23
03-03-2024,23:00:00,234.81,0.1,23.48,59
03-03-2024,23:15:00,233.28,0.07,16.33,41
03-03-2024,23:30:00,237.43,0.04,9.5,24
03-03-2024,23:45:00,235.8,0.07,16.51,41
04-03-2024,00:00:00,234.05,0.08,18.72,47
04-03-2024,00:15:00,232.53,0.06,13.95,35
04-03-2024,00:30:00,239.33,0.06,14.36,36
04-03-2024,00:45:00,232.66,0.03,6.98,17
04-03-2024,00:00:00,238.34,0.08,19.07,48
04-03-2024,00:15:00,235.25,0.03,7.06,18
04-03-2024,00:30:00,237.88,0.1,23.79,59
04-03-2024,00:45:00,234.94,0.09,21.14,53
04-03-2024,01:00:00,237.36,0.04,9.49,24
04-03-2024,01:15:00,238.32,0.04,9.53,24
04-03-2024,01:30:00,235.16,0.05,11.76,29
04-03-2024,01:45:00,233.12,0.08,18.65,47
04-03-2024,02:00:00,234.6,0.1,23.46,59
04-03-2024,02:15:00,239.41,0.06,14.36,36
04-03-2024,02:30:00,232.81,0.1,23.28,58
04-03-2024,02:45:00,239.86,0.1,23.99,6
04-03-2024,03:00:00,235.74,0.08,18.86,47
04-03-2024,03:15:00,233.19,0.07,16.32,41
04-03-2024,03:30:00,233.17,0.09,20.99,52
04-03-2024,03:45:00,239.97,0.06,14.4,36
04-03-2024,04:00:00,238.69,0.08,19.1,48
04-03-2024,04:15:00,238.62,0.06,14.32,36
04-03-2024,04:30:00,237.13,0.09,21.34,53
04-03-2024,04:45:00,232.8,0.04,9.31,23
04-03-2024,05:00:00,237.02,0.05,11.85,3
04-03-2024,05:15:00,235.35,0.06,14.12,35
04-03-2024,05:30:00,231.35,0.1,23.14,58
04-03-2024,05:45:00,230.08,0.1,23.01,58
04-03-2024,06:00:00,235.23,0.1,23.52,59
04-03-2024,06:15:00,233.83,0.04,9.35,23
04-03-2024,06:30:00,230.57,0.09,20.75,52
04-03-2024,06:45:00,236.87,0.07,16.58,41
04-03-2024,07:00:00,232.72,0.09,20.94,52
04-03-2024,07:15:00,232.67,0.1,23.27,58
04-03-2024,07:30:00,234.17,0.09,21.08,53
04-03-2024,07:45:00,236.52,0.04,9.46,24
04-03-2024,08:00:00,238.46,0.08,19.08,48
04-03-2024,08:15:00,239.45,0.04,9.58,24
04-03-2024,08:30:00,235.44,0.03,7.06,18
04-03-2024,08:45:00,231.55,0.04,9.26,23
04-03-2024,09:00:00,231.57,0.05,11.58,29
04-03-2024,09:15:00,234.31,0.09,21.09,53
04-03-2024,09:30:00,230.2,0.1,23.02,58
04-03-2024,09:45:00,239.71,0.04,9.59,24
04-03-2024,10:00:00,234.06,0.05,11.7,29
04-03-2024,10:15:00,237.94,0.09,21.41,54
04-03-2024,10:30:00,233.06,0.03,6.99,17
04-03-2024,10:45:00,236.33,0.08,18.91,47
04-03-2024,11:00:00,235.0,0.05,11.75,29
04-03-2024,11:15:00,232.77,0.04,9.31,23
04-03-2024,11:30:00,237.37,0.1,23.74,59
04-03-2024,11:45:00,237.95,0.09,21.42,54
04-03-2024,12:00:00,237.63,0.05,11.88,3
04-03-2024,12:15:00,231.9,0.08,18.55,46
04-03-2024,12:30:00,234.08,0.08,18.73,47
04-03-2024,12:45:00,239.5,0.09,21.55,54
04-03-2024,13:00:00,236.07,0.08,18.89,47
04-03-2024,13:15:00,233.73,0.06,14.02,35
04-03-2024,13:30:00,238.4,0.07,16.69,42
04-03-2024,13:45:00,231.49,0.06,13.89,35
04-03-2024,14:00:00,236.98,0.03,7.11,18
04-03-2024,14:15:00,230.21,0.09,20.72,52
04-03-2024,14:30:00,236.0,0.03,7.08,18
04-03-2024,14:45:00,233.78,0.1,23.38,58
04-03-2024,15:00:00,239.86,0.08,19.19,48
04-03-2024,15:15:00,233.87,0.04,9.35,23
04-03-2024,15:30:00,233.21,0.1,23.32,58
04-03-2024,15:45:00,236.07,0.08,18.89,47
04-03-2024,16:00:00,239.36,0.08,19.15,48
04-03-2024,16:15:00,237.35,0.09,21.36,53
04-03-2024,16:30:00,235.97,0.09,21.24,53
04-03-2024,16:45:00,230.51,0.04,9.22,23
04-03-2024,17:00:00,231.94,0.08,18.56,46
04-03-2024,17:15:00,233.44,0.08,18.68,47
04-03-2024,17:30:00,233.88,0.07,16.37,41
04-03-2024,17:45:00,232.91,0.1,23.29,58
04-03-2024,18:00:00,237.75,0.05,11.89,3
04-03-2024,18:15:00,237.22,0.04,9.49,24
04-03-2024,18:30:00,235.95,0.04,9.44,24
04-03-2024,18:45:00,232.33,0.04,9.29,23
04-03-2024,19:00:00,230.09,0.03,6.9,17
04-03-2024,19:15:00,237.61,0.09,21.38,53
04-03-2024,19:30:00,236.75,0.04,9.47,24
04-03-2024,19:45:00,230.5,0.08,18.44,46
04-03-2024,20:00:00,239.65,0.05,11.98,3
04-03-2024,20:15:00,238.36,0.03,7.15,18
04-03-2024,20:30:00,231.79,0.05,11.59,29
04-03-2024,20:45:00,238.33,0.04,9.53,24
04-03-2024,21:00:00,231.84,0.08,18.55,46
04-03-2024,21:15:00,237.6,0.08,19.01,48
04-03-2024,21:30:00,239.2,0.09,21.53,54
04-03-2024,21:45:00,232.23,0.1,23.22,58
04-03-2024,22:00:00,236.73,0.09,21.31,53
04-03-2024,22:15:00,238.79,0.03,7.16,18
04-03-2024,22:30:00,232.12,0.1,23.21,58
04-03-2024,22:45:00,231.81,0.09,20.86,52
04-03-2024,23:00:00,235.65,0.09,21.21,53
04-03-2024,23:15:00,237.99,0.04,9.52,24
04-03-2024,23:30:00,230.99,0.08,18.48,46
04-03-2024,23:45:00,234.86,0.07,16.44,41
05-03-2024,00:00:00,236.45,0.06,14.19,35
05-03-2024,00:15:00,237.71,0.08,19.02,48
05-03-2024,00:30:00,237.36,0.08,18.99,47
05-03-2024,00:45:00,236.96,0.04,9.48,24
05-03-2024,00:00:00,233.72,0.04,9.35,23
05-03-2024,00:15:00,231.47,0.07,16.2,4
05-03-2024,00:30:00,239.26,0.08,19.14,48
05-03-2024,00:45:00,237.51,0.09,21.38,53
05-03-2024,01:00:00,231.44,0.09,20.83,52
05-03-2024,01:15:00,239.9,0.05,12.0,3
05-03-2024,01:30:00,234.25,0.03,7.03,18
05-03-2024,01:45:00,238.28,0.04,9.53,24
05-03-2024,02:00:00,230.33,0.04,9.21,23
05-03-2024,02:15:00,233.33,0.06,14.0,35
05-03-2024,02:30:00,232.56,0.07,16.28,41
05-03-2024,02:45:00,234.14,0.07,16.39,41
05-03-2024,03:00:00,231.35,0.05,11.57,29
05-03-2024,03:15:00,237.73,0.09,21.4,53
05-03-2024,03:30:00,239.41,0.06,14.36,36
05-03-2024,03:45:00,235.21,0.07,16.46,41
05-03-2024,04:00:00,230.28,0.07,16.12,4
05-03-2024,04:15:00,233.27,0.06,14.0,35
05-03-2024,04:30:00,230.73,0.09,20.77,52
05-03-2024,04:45:00,233.6,0.09,21.02,53
05-03-2024,05:00:00,234.64,0.05,11.73,29
05-03-2024,05:15:00,234.76,0.09,21.13,53
05-03-2024,05:30:00,235.9,0.06,14.15,35
05-03-2024,05:45:00,233.22,0.03,7.0,18
05-03-2024,06:00:00,235.4,0.07,16.48,41
05-03-2024,06:15:00,239.56,0.06,14.37,36
05-03-2024,06:30:00,237.99,0.05,11.9,3
05-03-2024,06:45:00,233.11,0.03,6.99,17
05-03-2024,07:00:00,231.87,0.06,13.91,35
05-03-2024,07:15:00,233.99,0.07,16.38,41
05-03-2024,07:30:00,237.12,0.06,14.23,36
05-03-2024,07:45:00,237.27,0.08,18.98,47
05-03-2024,08:00:00,233.22,0.04,9.33,23
05-03-2024,08:15:00,238.77,0.09,21.49,54
05-03-2024,08:30:00,239.9,0.07,16.79,42
05-03-2024,08:45:00,231.09,0.08,18.49,46
05-03-2024,09:00:00,239.12,0.06,14.35,36
05-03-2024,09:15:00,233.47,0.05,11.67,29
05-03-2024,09:30:00,233.74,0.07,16.36,41
05-03-2024,09:45:00,239.05,0.06,14.34,36
05-03-2024,10:00:00,238.5,0.08,19.08,48
05-03-2024,10:15:00,231.43,0.05,11.57,29
05-03-2024,10:30:00,235.49,0.06,14.13,35
05-03-2024,10:45:00,233.63,0.06,14.02,35
05-03-2024,11:00:00,233.23,0.09,20.99,52
05-03-2024,11:15:00,239.09,0.09,21.52,54
05-03-2024,11:30:00,239.44,0.1,23.94,6
05-03-2024,11:45:00,231.99,0.05,11.6,29
05-03-2024,12:00:00,233.04,0.04,9.32,23
05-03-2024,12:15:00,234.48,0.06,14.07,35
05-03-2024,12:30:00,232.45,0.05,11.62,29
05-03-2024,12:45:00,236.83,0.09,21.31,53
05-03-2024,13:00:00,237.32,0.09,21.36,53
05-03-2024,13:15:00,238.19,0.03,7.15,18
05-03-2024,13:30:00,234.67,0.04,9.39,23
05-03-2024,13:45:00,233.57,0.05,11.68,29
05-03-2024,14:00:00,232.75,0.1,23.28,58
05-03-2024,14:15:00,234.14,0.06,14.05,35
05-03-2024,14:30:00,230.8,0.05,11.54,29
05-03-2024,14:45:00,239.36,0.03,7.18,18
05-03-2024,15:00:00,230.05,0.07,16.1,4
05-03-2024,15:15:00,233.47,0.06,14.01,35
05-03-2024,15:30:00,238.64,0.06,14.32,36
05-03-2024,15:45:00,233.24,0.09,20.99,52
05-03-2024,16:00:00,236.73,0.07,16.57,41
05-03-2024,16:15:00,239.67,0.07,16.78,42
05-03-2024,16:30:00,232.31,0.07,16.26,41
05-03-2024,16:45:00,239.69,0.06,14.38,36
05-03-2024,17:00:00,234.0,0.06,14.04,35
05-03-2024,17:15:00,233.46,0.04,9.34,23
05-03-2024,17:30:00,239.07,0.06,14.34,36
05-03-2024,17:45:00,234.99,0.05,11.75,29
05-03-2024,18:00:00,238.99,0.05,11.95,3
05-03-2024,18:15:00,233.9,0.09,21.05,53
05-03-2024,18:30:00,235.46,0.07,16.48,41
05-03-2024,18:45:00,237.2,0.05,11.86,3
05-03-2024,19:00:00,234.58,0.09,21.11,53
05-03-2024,19:15:00,230.18,0.1,23.02,58
05-03-2024,19:30:00,238.33,0.05,11.92,3
05-03-2024,19:45:00,234.7,0.06,14.08,35
05-03-2024,20:00:00,235.2,0.1,23.52,59
05-03-2024,20:15:00,237.45,0.06,14.25,36
05-03-2024,20:30:00,238.22,0.04,9.53,24
05-03-2024,20:45:00,231.32,0.06,13.88,35
05-03-2024,21:00:00,233.01,0.04,9.32,23
05-03-2024,21:15:00,237.45,0.03,7.12,18
05-03-2024,21:30:00,232.04,0.09,20.88,52
05-03-2024,21:45:00,230.43,0.05,11.52,29
05-03-2024,22:00:00,230.61,0.07,16.14,4
05-03-2024,22:15:00,233.25,0.04,9.33,23
05-03-2024,22:30:00,231.93,0.06,13.92,35
05-03-2024,22:45:00,235.92,0.09,21.23,53
05-03-2024,23:00:00,235.57,0.06,14.13,35
05-03-2024,23:15:00,235.84,0.05,11.79,29
05-03-2024,23:30:00,233.85,0.03,7.02,18
05-03-2024,23:45:00,233.21,0.07,16.32,41
06-03-2024,00:00:00,232.67,0.08,18.61,47
06-03-2024,00:15:00,232.68,0.03,6.98,17
06-03-2024,00:30:00,239.79,0.03,7.19,18
06-03-2024,00:45:00,231.01,0.03,6.93,17
06-03-2024,00:00:00,234.33,0.04,9.37,23
06-03-2024,00:15:00,236.52,0.05,11.83,3
06-03-2024,00:30:00,236.72,0.08,18.94,47
06-03-2024,00:45:00,236.47,0.08,18.92,47
06-03-2024,01:00:00,235.97,0.04,9.44,24
06-03-2024,01:15:00,231.09,0.07,16.18,4
06-03-2024,01:30:00,231.87,0.04,9.27,23
06-03-2024,01:45:00,230.76,0.08,18.46,46
06-03-2024,02:00:00,238.2,0.06,14.29,36
06-03-2024,02:15:00,237.34,0.1,23.73,59
06-03-2024,02:30:00,234.77,0.08,18.78,47
06-03-2024,02:45:00,234.37,0.05,11.72,29
06-03-2024,03:00:00,238.74,0.08,19.1,48
06-03-2024,03:15:00,233.05,0.03,6.99,17
06-03-2024,03:30:00,233.46,0.06,14.01,35
06-03-2024,03:45:00,234.69,0.06,14.08,35
